ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CDP,,1.72%,0.92%,"[4.65, 4.71, 4.73, 4.71, 4.65, 4.78, 4.77, 4.67, 4.65, 4.71, 4.66, 4.66, 4.71, 4.67, 4.7, 4.7, 4.74, 4.7, 4.79, 4.73]",,,,
CIN,,2.38%,1.29%,,,"[30.28, 30.44, 30.89, 30.51, 30.92, 30.9, 30.6, 31.05, 30.83, 30.93, 31.4, 31.39, 31.4, 31.5, 31.4, 31.5, 31.5, 31.5, 31.0]",,
CL8,,0.0%,0.0%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CNB,,-15.87%,5.25%,"[0.31, 0.28, 0.29, 0.3, 0.31, 0.31, 0.31, 0.29, 0.3, 0.32, 0.31, 0.31, 0.31, 0.31, 0.28, 0.28, 0.28, 0.28, 0.28, 0.26]",,,,
CVN,,-2.61%,4.28%,"[0.12, 0.1, 0.1, 0.11, 0.11, 0.12, 0.12, 0.12, 0.12, 0.11, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11]",,,,
CAV,,0.0%,4.17%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CCE,,-2.86%,4.15%,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.04, 0.04, 0.03]",,,,
CCV,,-4.0%,2.97%,"[0.24, 0.24, 0.24, 0.24, 0.23, 0.23, 0.23, 0.23, 0.23, 0.24, 0.24, 0.23, 0.23, 0.25, 0.25, 0.24, 0.25, 0.25, 0.24, 0.23]",,,,
CPN,,13.11%,8.93%,"[0.06, 0.05, 0.05, 0.05, 0.06, 0.06, 0.06, 0.06, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]",,,,
CMD,,-6.25%,4.9%,"[0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,,,
