ASX Code,Last 16 Closes,Change (%),Stdev (%),Last 20 Closes,Last 15 Closes,Last 19 Closes,Last 14 Closes,Last 3 Closes
CND,,10.0%,11.37%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.03, 0.02, 0.02, 0.02]",,,,
CNJ,,16.67%,4.57%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CML,,-16.67%,5.3%,,,"[0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.13, 0.12]",,
CXZ,,-6.67%,2.59%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
CRD,,-5.19%,3.54%,,,"[0.77, 0.77, 0.8, 0.75, 0.75, 0.75, 0.76, 0.75, 0.75, 0.8, 0.75, 0.75, 0.8, 0.75, 0.75, 0.75, 0.73, 0.68, 0.73]",,
CR1,,0.0%,7.15%,,,"[0.17, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.16, 0.19, 0.2, 0.17, 0.17, 0.17, 0.17, 0.17, 0.17]",,
CT1,,0.0%,0.0%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CEN,,1.33%,2.33%,"[8.24, 8.1, 8.0, 7.98, 8.0, 7.8, 7.9, 8.08, 7.73, 7.87, 7.74, 8.09, 7.95, 7.83, 8.29, 8.31, 8.23, 8.02, 8.01, 8.35]",,,,
CBL,,19.05%,11.63%,,,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03, 0.04, 0.04, 0.04, 0.04, 0.05, 0.05, 0.05, 0.05]",,
CBH,,0.0%,0.0%,,,"[0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21]",,
CPM,,-2.5%,4.63%,"[0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]",,,,
CUS,,-9.38%,3.95%,,,"[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03]",,
COY,,7.14%,3.77%,,,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CZN,,50.0%,18.9%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CR3,,-29.41%,8.99%,,,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01]",,
CXO,,-18.75%,4.75%,"[0.08, 0.07, 0.07, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.06]",,,,
CR9,,20.05%,24.85%,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,
CRN,,-45.14%,21.83%,"[0.52, 0.51, 0.55, 0.51, 0.5, 0.51, 0.5, 0.47, 0.46, 0.4, 0.35, 0.35, 0.34, 0.35, 0.34, 0.33, 0.33, 0.31, 0.29, 0.28]",,,,
CTD,,-13.9%,3.72%,"[15.04, 14.96, 14.21, 14.11, 14.11, 14.45, 14.46, 14.05, 14.38, 14.48, 14.57, 15.12, 15.32, 14.97, 14.52, 13.91, 14.06, 14.27, 13.97, 12.95]",,,,
CMO,,-13.33%,11.08%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.02, 0.02, 0.02, 0.01, 0.01]",,,,
C1X,,-21.0%,6.63%,"[0.1, 0.09, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.09, 0.09, 0.09, 0.09, 0.08, 0.09, 0.08, 0.09, 0.08, 0.08, 0.08]",,,,
COS,,-12.94%,3.26%,"[0.85, 0.83, 0.81, 0.81, 0.79, 0.79, 0.79, 0.8, 0.81, 0.81, 0.81, 0.81, 0.81, 0.8, 0.8, 0.8, 0.77, 0.75, 0.75, 0.74]",,,,
CUP,,-3.54%,1.69%,"[0.75, 0.71, 0.7, 0.73, 0.73, 0.73, 0.75, 0.75, 0.72, 0.74, 0.73, 0.74, 0.75, 0.75, 0.74, 0.74, 0.75, 0.73, 0.74, 0.72]",,,,
CYG,,-14.29%,4.54%,"[1.05, 1.05, 1.05, 1.05, 1.05, 1.01, 1.03, 0.98, 1.02, 1.0, 0.99, 1.04, 1.05, 1.05, 0.98, 0.97, 0.96, 0.95, 0.94, 0.9]",,,,
CGO,,0.0%,1.5%,,,"[0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06]",,
CCR,,-12.24%,4.02%,"[0.25, 0.23, 0.23, 0.24, 0.23, 0.22, 0.23, 0.23, 0.25, 0.25, 0.24, 0.24, 0.23, 0.23, 0.23, 0.22, 0.22, 0.22, 0.22, 0.22]",,,,
CCP,,-11.65%,2.8%,"[14.43, 14.26, 13.94, 13.84, 13.88, 14.07, 14.04, 13.99, 14.36, 14.35, 14.31, 14.51, 14.47, 14.32, 14.45, 13.81, 14.01, 14.17, 13.8, 12.75]",,,,
CI1,,0.0%,0.0%,,,"[0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]",,
CRI,,-17.65%,6.77%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.01, 0.02, 0.01, 0.02, 0.01, 0.01, 0.01]",,,,
CMG,,-9.68%,4.03%,"[0.16, 0.16, 0.15, 0.16, 0.16, 0.14, 0.16, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.15, 0.14, 0.14, 0.15, 0.14, 0.14, 0.14]",,,,
CRR,,-20.0%,12.85%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CMW,,-5.83%,1.66%,"[0.38, 0.38, 0.37, 0.38, 0.37, 0.38, 0.37, 0.37, 0.36, 0.36, 0.37, 0.36, 0.37, 0.37, 0.37, 0.37, 0.37, 0.38, 0.37, 0.36]",,,,
CTE,,0.67%,2.23%,"[0.75, 0.75, 0.75, 0.75, 0.75, 0.78, 0.77, 0.77, 0.77, 0.77, 0.78, 0.78, 0.78, 0.78, 0.8, 0.8, 0.8, 0.8, 0.8, 0.75]",,,,
CSL,,2.13%,1.37%,"[255.4, 251.93, 250.37, 248.49, 250.05, 247.88, 247.69, 250.29, 255.32, 254.0, 253.33, 256.8, 252.92, 252.41, 252.72, 249.28, 251.57, 255.19, 257.68, 260.85]",,,,
CLX,,-7.41%,2.43%,"[1.67, 1.63, 1.57, 1.57, 1.57, 1.57, 1.64, 1.64, 1.64, 1.61, 1.63, 1.67, 1.6, 1.63, 1.65, 1.61, 1.59, 1.62, 1.54, 1.55]",,,,
CUE,,-13.04%,4.28%,"[0.12, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.11, 0.1]",,,,
CUF,,0.0%,3.22%,"[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",,,,
CUL,,0.0%,11.57%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CPO,,-23.53%,10.9%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.02, 0.01]",,,,
CVB,,4.76%,6.04%,"[0.1, 0.1, 0.1, 0.11, 0.1, 0.11, 0.12, 0.11, 0.11, 0.11, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12, 0.11, 0.11]",,,,
CCL,,-6.77%,2.08%,"[2.66, 2.62, 2.62, 2.64, 2.65, 2.61, 2.64, 2.65, 2.67, 2.71, 2.7, 2.66, 2.7, 2.68, 2.65, 2.6, 2.6, 2.6, 2.54, 2.48]",,,,
CVC,,-2.38%,0.69%,,,"[2.1, 2.1, 2.08, 2.08, 2.08, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.07, 2.05, 2.05, 2.05, 2.05]",,
CYQ,,0.0%,13.41%,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
CLE,,-18.0%,5.54%,"[0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.04]",,,,
CYC,,-15.36%,8.72%,"[1.4, 1.36, 1.3, 1.43, 1.46, 1.43, 1.42, 1.46, 1.45, 1.38, 1.23, 1.21, 1.2, 1.14, 1.16, 1.15, 1.29, 1.27, 1.24, 1.18]",,,,
CY5,,-29.17%,8.58%,"[0.12, 0.12, 0.1, 0.1, 0.12, 0.12, 0.11, 0.11, 0.12, 0.11, 0.12, 0.12, 0.1, 0.1, 0.11, 0.11, 0.1, 0.1, 0.09, 0.09]",,,,
CYP,,-26.67%,7.54%,"[0.22, 0.21, 0.22, 0.22, 0.22, 0.21, 0.21, 0.21, 0.2, 0.2, 0.2, 0.2, 0.19, 0.19, 0.19, 0.19, 0.2, 0.19, 0.18, 0.17]",,,,
CYM,,5.88%,10.16%,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",,,,
CZR,,14.0%,8.58%,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.28, 0.3, 0.31, 0.31, 0.31, 0.31, 0.31, 0.3, 0.29, 0.3, 0.28, 0.28]",,,,
CCO,"[0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.01, 0.0, 0.0, 0.01, 0.0]",-16.67%,8.61%,,,,,
